resourceName,expectedSize,actualSize,expectedFormat,actualFormat,alphaPass,checkerboardBaked,dynamicTextBaked,yizaiPass,stateSetConsistent,physicsSafePass,canAutoFix,fixAction,finalStatus,notes
btn_pause_pressed,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 71.2%；等比居中到 128x128,AUTO_FIXED,暂停按钮 pressed
btn_pause_disabled,128x128,1254x1254,PNG,PNG,NO,YES,N/A,N/A,N/A,N/A,YES,从边缘和内部棋盘格生成 alpha，背景占比 64.6%；等比居中到 128x128,AUTO_FIXED,暂停按钮 disabled
btn_restart_normal,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 57.7%；等比居中到 128x128,AUTO_FIXED,重开按钮 normal
btn_restart_pressed,128x128,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 56.0%；等比居中到 128x128,AUTO_FIXED,重开按钮 pressed
btn_restart_disabled,128x128,1254x1254,PNG,PNG,NO,YES,N/A,N/A,N/A,N/A,YES,从边缘和内部棋盘格生成 alpha，背景占比 59.8%；等比居中到 128x128,AUTO_FIXED,重开按钮 disabled
warning_line,560x40,2172x724,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 96.0%；等比居中到 560x40,AUTO_FIXED,失败警戒线
dropper_head,140x120,1355x1161,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 72.3%；等比居中到 140x120,AUTO_FIXED,投放器头部
face_01_sprout_bead,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 67.1%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 457x460，最小边距 26px"
face_02_peach_puff,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 65.5%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 455x460，最小边距 26px"
face_03_heart_jelly,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 68.1%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 453x460，最小边距 26px"
face_04_sun_wiggle,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 67.1%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 457x459，最小边距 26px"
face_05_sky_spark,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 61.2%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 460x456，最小边距 26px"
face_06_cream_smile,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 64.8%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 451x460，最小边距 26px"
face_07_seed_sage,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 61.9%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 460x460，最小边距 26px"
face_08_grape_zap,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 56.1%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 455x460，最小边距 26px"
face_09_flame_grin,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 67.1%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 457x460，最小边距 26px"
face_10_crown_star,512x512,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,YES,YES,从边缘背景生成 alpha，背景占比 66.4%；等比居中到 512x512,AUTO_FIXED,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；bbox 455x460，最小边距 26px"
face_11_yizai,512x512,1254x1254,PNG,PNG,N/A,YES,N/A,NO,N/A,N/A,NO,,NEEDS_REGEN,"默认合成球；圆心 256,256，主体最大直径 460px，四周 26px 透明安全边距；亿仔主体和 MAEE 方向正确，但边缘残留明显棋盘格/白边抠图污染，最终球体必须重新生成透明 PNG"
skin_jelly_face_01,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_02,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_03,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_04,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_05,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_06,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_07,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_08,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_09,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_jelly_face_10,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤球；仅改变前 10 级外观，不影响数值
skin_preview_jelly,300x300,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,jelly 皮肤商店预览
skin_star_face_01,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_02,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_03,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_04,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_05,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_06,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_07,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_08,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_09,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_star_face_10,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤球；仅改变前 10 级外观，不影响数值
skin_preview_star,300x300,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,star 皮肤商店预览
skin_cream_face_01,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_02,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_03,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_04,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_05,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_06,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_07,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_08,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_09,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_cream_face_10,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤球；仅改变前 10 级外观，不影响数值
skin_preview_cream,300x300,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,cream 皮肤商店预览
skin_coin_face_01,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_02,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_03,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_04,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_05,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_06,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_07,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_08,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_09,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_coin_face_10,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤球；仅改变前 10 级外观，不影响数值
skin_preview_coin,300x300,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,coin 皮肤商店预览
skin_festival_face_01,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_02,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_03,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_04,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_05,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_06,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_07,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_08,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_09,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_festival_face_10,512x512,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤球；仅改变前 10 级外观，不影响数值
skin_preview_festival,300x300,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,festival 皮肤商店预览
modal_base,620x760,1133x1388,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 19.0%；等比居中到 620x760,AUTO_FIXED,通用弹窗底板，不带具体文字
pause_panel,620x620,1254x1254,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 37.7%；等比居中到 620x620,AUTO_FIXED,暂停弹窗底板
btn_resume_normal,300x100,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,继续游戏按钮 normal
btn_resume_pressed,300x100,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,继续游戏按钮 pressed
btn_resume_disabled,300x100,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,继续游戏按钮 disabled
btn_pause_home_normal,260x86,2180x721,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 43.8%；等比居中到 260x86,AUTO_FIXED,暂停页返回大厅按钮 normal
btn_pause_home_pressed,260x86,2180x721,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 46.2%；等比居中到 260x86,AUTO_FIXED,暂停页返回大厅按钮 pressed
btn_pause_restart_normal,260x86,2180x721,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 47.5%；等比居中到 260x86,AUTO_FIXED,暂停页重新开始按钮 normal
btn_pause_restart_pressed,260x86,2180x721,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 46.9%；等比居中到 260x86,AUTO_FIXED,暂停页重新开始按钮 pressed
task_panel,620x760,1133x1388,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 27.9%；等比居中到 620x760,AUTO_FIXED,任务弹窗，不写具体任务文案
task_item,560x100,2968x530,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 4.1%；等比居中到 560x100,AUTO_FIXED,单条任务底板，留进度和领取区域
btn_claim_normal,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 34.6%；等比居中到 180x72,AUTO_FIXED,领取按钮 normal
btn_claim_pressed,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 62.2%；等比居中到 180x72,AUTO_FIXED,领取按钮 pressed
btn_claim_disabled,180x72,1983x793,PNG,PNG,NO,YES,N/A,N/A,N/A,N/A,YES,从边缘和内部棋盘格生成 alpha，背景占比 67.5%；等比居中到 180x72,AUTO_FIXED,领取按钮 disabled
shop_panel,620x860,1065x1477,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 19.7%；等比居中到 620x860,AUTO_FIXED,商店弹窗，不写具体价格和名字
shop_card,250x300,1145x1374,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 28.6%；等比居中到 250x300,AUTO_FIXED,皮肤卡片底板，留预览、价格、按钮区域
btn_buy_normal,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 38.1%；等比居中到 180x72,AUTO_FIXED,购买按钮 normal
btn_buy_pressed,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 34.6%；等比居中到 180x72,AUTO_FIXED,购买按钮 pressed
btn_buy_disabled,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 41.5%；等比居中到 180x72,AUTO_FIXED,购买按钮 disabled
btn_use_normal,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 44.6%；等比居中到 180x72,AUTO_FIXED,使用按钮 normal
btn_use_pressed,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 29.6%；等比居中到 180x72,AUTO_FIXED,使用按钮 pressed
btn_use_disabled,180x72,1983x793,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 47.5%；等比居中到 180x72,AUTO_FIXED,使用按钮 disabled
rank_panel,620x860,1065x1477,PNG,PNG,N/A,NO,YES,N/A,N/A,N/A,NO,,NEEDS_REGEN,"排行榜弹窗，不写具体排名和名字；OCR 疑似动态数字：ve

eo@:s- ))

a * ETT 18 t=

|

| |

/ ]
\

|_|

N

|"
rank_item,560x96,2172x724,PNG,PNG,NO,NO,NO,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 51.2%；等比居中到 560x96,AUTO_FIXED,单条排行底板，留头像、名次、昵称、分数区域
result_panel,620x760,1133x1388,PNG,PNG,N/A,NO,YES,N/A,N/A,N/A,NO,,NEEDS_REGEN,"结算弹窗，不写分数数字；OCR 疑似动态数字：Toh vac POW re Se ae
( ‘ ""ae AD 8 Aa —a }
ee | rip Geo S¢
=S =o.
S 4
| Ww LT
Ke "
btn_again_normal,300x100,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,再来一局按钮 normal
btn_again_pressed,300x100,MISSING,PNG,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,NO,,MISSING,再来一局按钮 pressed
btn_share_normal,300x100,2172x724,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 35.1%；等比居中到 300x100,AUTO_FIXED,分享成绩按钮 normal
btn_share_pressed,300x100,2172x724,PNG,PNG,NO,NO,N/A,N/A,N/A,N/A,YES,从边缘背景生成 alpha，背景占比 43.7%；等比居中到 300x100,AUTO_FIXED,分享成绩按钮 pressed
